Judul,Tanggal,Berita,Kategori
KONI Pusat gelar bimtek HKI PON 2024 Aceh-Sumatera Utara," Rabu, 29 November 2023 20:04 WIB","     Jakarta (ANTARA) - Komite Olahraga Nasional Indonesia (KONI) Pusat menggelar bimbingan teknik Hak Kekayaan Intelektual (HKI) Pekan Olahraga Nasional 2024 Aceh Sumatera Utara di Jakarta.   ""Saya berharap PON XXI Aceh-Sumut 2024 tidak hanya dikenang sebagai sejarah PON, namun dalam berbagai hal, dan kami bisa melakukan evaluasi terukur terhadap PON sebelumnya, baik PON Jawa Barat, maupun di Papua,"" kata Ketua Umum KONI Pusat Marciano Norman dalam keterangan resmi KONI Pusat, Rabu.   Marciano mengharapkan bimtek kali ini dapat selesai dengan menghasilkan satu visi bersama tentang HAKI PON XXI/2024 Aceh-Sumut.   “PON XXI Tahun 2024 di Aceh-Sumatera Utara diharapkan tidak menjadi beban, oleh karena itu pengelolaannya harus profesional agar memiliki daya tarik luar biasa. Dengan begitu, PON akan menjadi hiburan sekaligus bagian dari sport industry dan sport tourism,” sambung Marciano.  Baca juga: Technical delegate tinjau arena PON XXI/2024 di Sumut   Menurutnya penyelenggara PON 2024 Aceh-Sumut harus memenuhi ekspektasi masyarakat Indonesia, khususnya pecinta olahraga lewat ajang ini menghasilkan satu pandangan bahwa olahraga harus diperhatikan tidak hanya pemerintah. Seluruh pihak, baik itu BUMN, BUMD, swasta dan masyarakat bisa bersama-sama membesarkan acara olahraga dari tingkat terbawah hingga internasional.   “Per hari ini tersisa 280 hari menuju hari H, ini waktu yang sangat sempit oleh karenanya mari kita bersama-sama bekerja lebih intensif lagi agar penyelenggaraan PON bisa berhasil dan lancar sesuai harapan kita semua. Agar PON Aceh-Sumut lebih baik dari PON sebelumnya,” kata Ketua Komisi HAKI PON 2024 Aceh-Sumut yang juga Sekjen KONI Pusat Lukman Djajadikusuma.   Lukman tegaskan bahwa penyelenggaraan perlu merujuk internasional, yakni Olimpiade dan Komite Olimpiade Internasional (IOC), bahkan belajar dari Asian Games 2018 di Jakarta-Palembang.   Sekjen KONI Pusat tegaskan seluruh identitas tentang PON XXI/2024 Aceh-Sumut harus ada di berbagai tempat, khususnya di dalam arena.   Media juga menjadi bagian penting yang harus dikembangkan. Sebab, kehadiran media dapat berdampak positif terhadap ketertarikan sponsor, pungkasnya.  Baca juga: KONI Pusat lantik pengurus PP FTI masa bakti 2023-2027  Baca juga: KONI NTB dan NTT serahkan rancangan PON 2028 ke KONI PusatPewarta: Fajar SatriyoEditor: Roy Rosa Bachtiar    COPYRIGHT © ANTARA 2023 ",olahraga
"PPTI prioritaskan pengenalan olahraga ""piring terbang"" ke sekolah"," Rabu, 29 November 2023 17:25 WIB","     Jakarta (ANTARA) - Perkumpulan Piring Terbang Indonesia (PPTI) menyiapkan agenda prioritas untuk memperkenalkan olahraga piring terbang atau Ultimate Frisbee ke sekolah-sekolah agar semakin dikenal kalangan masyarakat di Tanah Air.   ""Tahun depan (2024) kami ingin 'lebarkan sayap' memperkenalkan Ultimate Frisbee ke sekolah-sekolah bukan sebagai olahraga yang sifatnya rekreasional lagi melainkan olahraga prestasi,"" kata Ketua PPTI Randi Tulus ketika dihubungi di Jakarta, Rabu.   Ia menyampaikan hal itu berkaitan dengan upaya mempopulerkan permainan piring terbang di Tanah Air serta menjadikan permainan tersebut dapat diakui sebagai cabang olahraga.   Randi mengatakan, salah satu agenda prioritas dalam pengembangan permainan piring terbang ke depan yaitu mendapatkan dukungan dari Komite Olahraga Nasional Indonesia (KONI) terkait perizinan edukasi, selain dukungan fasilitas dan material.   Dalam pertemuan PPTI dengan perwakilan sejumlah pihak seperti Dewan Perwakilan Daerah (DPD), Dinas Pemuda dan Olahraga, dan KONI, pihaknya menerima masukkan agar permainan piring terbang harus bersifat olahraga prestasi.   ""Jadi kalau ingin diakui oleh KONI maka sifatnya harus olahraga prestasi sehingga bisa dimasukkan ke sekolah. Karena itu mulai tahun depan kami fokus untuk sosialisasi ke sekolah-sekolah,"" katanya.   Randi mengatakan, permainan piring terbang belum banyak dikenal berbagai kalangan masyarakat di Indonesia. Namun, permainan itu sebenarnya sudah mulai dimainkan sejak tahun 1996 di Jakarta oleh kalangan ekspatriat seperti dari perusahaan multinasional, kedutaan besar.   Saat ini, peminat permainan ini terus bertumbuh dengan jumlah anggota yang aktif maupun non-aktif tercatat sebanyak 532 orang. Jumlah anggota terbanyak berada di Jakarta sekitar 52 persen, di Bali 34 persen, dan sisanya tersebar di Surabaya, Bandung, Makassar, hingga Papua.   Ultimate Frisbee adalah permainan yang dimainkan oleh dua tim yang masing-masing terdiri dari tujuh orang menggunakan piring terbang frisbee.   Permainan yang populer di Amerika Serikat itu menggabungkan sejumlah unsur permainan dari American football, sepak bola dan bola basket, namun mengganti si kulit bundar dengan piringan frisbee.   Tim mencetak gol apabila salah satu pemainnya menangkap piringan melewati garis zona akhir daerah lawan.   Baca juga: Olahraga ""piring terbang"" Ultimate fokus ekspansi untuk pengakuan KONI  Baca juga: Menpora Dito puji semangat partisipasi masyarakat di FORNAS VII 2023  Baca juga: Wagub Bali: Olahraga rekreasi bisa tekan dana kesehatanPewarta: Aloysius LewokedaEditor: Dadan Ramdani    COPYRIGHT © ANTARA 2023 ",olahraga
Apriyani sebut cedera betis mulai membaik dan fokus persiapan WTF," Rabu, 29 November 2023 16:58 WIB"," Alhamdulillah sekarang saya merasa 90 persen baik, sudah berkurang sakitnya dan tidak ada rasa ngiluJakarta (ANTARA) - Pebulu tangkis ganda putri Indonesia Apriyani Rahayu mengungkapkan kondisi betisnya yang cedera kini sudah membaik, dan kini fokus untuk berlatih jelang World Tour Finals (WTF) di Hangzhou, China, Desember.    “Alhamdulillah sekarang saya merasa 90 persen baik, sudah berkurang sakitnya dan tidak ada rasa ngilu. Sementara untuk 10 persennya lagi ada di mindset, berani lagi saja,” ungkap Apriyani saat ditemui di Pelatnas PP PBSI Cipayung, Jakarta Timur, Rabu.    Sebelumnya, peraih medali emas Olimpiade 2020 Tokyo itu memutuskan untuk mundur dari babak 16 besar Turnamen BWF Super 750 China Masters 2023 saat berhadapan dengan wakil Prancis Margot Lambert/Anne Tran.    Apriyani mengungkapkan, keputusannya untuk mundur dari China Masters cukup membuatnya cemas, setelah sebelumnya juga sempat melakukan hal yang sama untuk kali keempat pada tahun ini.  Baca juga: Apri/Fadia mengundurkan diri dari China Masters karena cedera    “Pasti ada rasa khawatir. Tahun ini, betul ada rasa cemas juga, karena balik lagi yang tadi saya bilang, pertandingan kami sangat banyak. Apalagi kami persiapkan untuk Olimpiade,” ungkap Apriyani.    “Saya juga bilang ke pelatih, mungkin karena di tahun ini, semua (atlet) mengejar poin (Olimpiade 2024), ya. Semua negara, bukan hanya kami saja. Jadi memang ini tahun yang sangat melelahkan. Bukan hanya badan, pikiran juga,” ujarnya menambahkan.    Meski demikian, Apriyani mengatakan dirinya tidak ingin patah semangat dan terus ingin berusaha untuk masuk ke jajaran pemain yang lolos ke Olimpiade 2024 Paris bersama rekannya, Siti Fadia Silva Ramadhanti.    Pebulu tangkis asal Konawe, Sulawesi Tenggara, itu menambahkan, ia dan Fadia saling memberikan dukungan satu sama lain dan memperkuat hubungan serta kekompakan mereka, di dalam maupun di luar lapangan.    “Fadia datang dan bilang, apa pun yang aku rasakan, jangan pernah dipaksa atau di-push lagi. Maksudnya, cukup untuk jujur saja, karena dia tahu saya jarang sekali mengeluh di depan dia, di depan siapa pun,” kata Apiyani.    “Dan itu salah satu hal yang menaikkan mental saya, karena bagaimana pun saya dan Fadia yang main berdua di lapangan. Itu yang penting, makin ke sini, semakin menjadi merasa kuat jelang WTF dan nanti Olimpiade,” imbuhnya.  Baca juga: Cedera betis pupuskan harapan Apri/Fadia juarai Hylo OpenPewarta: Arnidhya Nur ZhafiraEditor: Roy Rosa Bachtiar    COPYRIGHT © ANTARA 2023 ",olahraga
Savira Diah Fitri sabet medali perunggu di World Kurash Championship," Rabu, 29 November 2023 16:18 WIB","     Jakarta (ANTARA) - Atlet kurash Indonesia Savira Diah Fitri Rizkianti meraih medali perunggu pada ajang kejuaraan dunia bertajuk World Kurash Championship 2023 yang berlangsung di Ashgabat, Turkmenistan, pada 23-28 November.   Savira yang turun di kelas -48 Kg menjadi juara ketiga. Perolehan medali perunggu tersebut mempertahankan catatan impresif Savira yang diperoleh pada World Kurash Championship 2022 di India.   ""Alhamdulillah Savira atlet kami asal Jawa Timur berhasil mempertahankan peringkat ke-3 dunia kelas -48 Kg yang tahun lalu dia dapatkan di Pune, India,” kata Ketua Umum Pengurus Besar Federasi Kurash Indonesia (PB Ferkushi) Hafil Fuddin melalui keterangan tertulis yang diterima di Jakarta, Rabu.   Indonesia menurunkan tiga atlet dalam kejuaraan kali ini, selain Savira, ada dua atlet kurash putra yang turut bertanding yaitu Syahrul Ramadhani yang turun di kelas -60 Kg dan Ananda Triputra Rizki Sumadi yang turun di kelas -73 Kg.   Namun Syahrul dan Ananda belum dapat meraih prestasi di kejuaraan kurash dunia tersebut.   “Harapan ke depan, semoga persiapan atlet-atlet kami akan lebih keras lagi, melihat jumlah peserta yang semakin meningkat dan persiapan negara lain yang lebih matang,” Hafil menguraikan.   Hafil mengatakan, Indonesia harus lebih serius dalam mempersiapkan atlet-atlet kurash ke ajang internasional. Selain itu ia mengharapkan melalui ajang multicabang seperti Pekan Olahraga Nasional (PON), dapat memberikan kesempatan dan kesiapan bagi daerah-daerah di seluruh Indonesia untuk melahirkan atlet-atlet kurash.   ""Indonesia harus lebih serius dalam mempersiapkan atlet-atlet, khususnya di event internasional. Selain itu, daerah juga harus persiapkan atlet lebih baik lagi,” kata Hafil.  Baca juga: Ketum KONI minta PB Ferkushi sosialisasikan kurash hingga pelosok  Baca juga: Najmu Shifa raih medali perunggu kelas 63 kg kurash putriPewarta: Fajar SatriyoEditor: Roy Rosa Bachtiar    COPYRIGHT © ANTARA 2023 ",olahraga
"Mir ungkap fisiknya kian membaik setelah ""crash"" di GP Valencia"," Rabu, 29 November 2023 14:07 WIB","     Jakarta (ANTARA) - Pembalap Repsol Honda Joan Mir mengungkapkan kondisi fisiknya sudah kian membaik setelah sempat crash pada hari pertama dan tidak bisa mengikuti babak pamungkas MotoGP Valencia, pekan lalu.    “Ini adalah momen yang baik. Saya senang bisa ikut dalam uji coba ini (Selasa), mengingat saya kecelakaan pada Jumat (24/11). Saya merasakan sedikit rasa sakit, tapi yang penting adalah kami dapat menjalani hari yang baik dan melewati banyak hal bersama,,” kata Mir, dikutip dari keterangan resmi HRC, Rabu.    Adapun Mir pada uji coba perdana di Valencia, menjajal prototipe Honda RC213V 2024 untuk pertama kalinya bersama rekan satu tim barunya, Luca Marini, yang hengkang dari VR46 untuk mengisi kursi yang ditinggalkan oleh Marc Marquez di tim pabrikan Honda tersebut.  Baca juga: Binder sebut KTM fokus pada pengembangan pengaturan motor 2024  Baca juga: Di Giannantonio nikmati pengalaman pertama bersama VR46    Sementara itu, Mir menyelesaikan uji coba di Valencia dengan total 69 lap dan membukukan waktu lap tercepat 1 menit 30,051. Ia pun mengakhiri hari di urutan ke-13. Di sisi lain, Marini finis P10 dengan waktu terbaik 1 menit 29,956 detik dan menyelesaikan total sebanyak 72 lap.    Lebih lanjut, Mir menilai kecepatan motor RC213V baru ini cukup baik bila dibandingkan dengan edisi sebelumnya. “Saya senang dengan apa yang kami lihat dari protobike,” kata Mir.    “Kecepatan kami bagus dan perkembangannya positif. Masih ada pekerjaan yang harus dilakukan, namun langkah pertama sudah berada di arah yang benar dan kita dapat memasuki musim liburan dengan menantikan apa yang akan terjadi nanti,” ujarnya menambahkan.    Sementara itu, uji coba MotoGP 2024 kedua akan digelar di Sirkuit Internasional Sepang, Malaysia, pada 6-8 Februari. Musim mendatang pun akan dibuka dengan putaran pertama di Sirkuit Internasional Lusail, Qatar, pada 8-11 Maret.  Baca juga: Quartararo dan Rins soroti langkah Yamaha perbarui aerodinamika motorPewarta: Arnidhya Nur ZhafiraEditor: Irwan Suhirwandi    COPYRIGHT © ANTARA 2023 ",olahraga
Binder sebut KTM fokus pada pengembangan pengaturan motor 2024," Rabu, 29 November 2023 13:49 WIB","     Jakarta (ANTARA) - Pembalap Red Bull KTM Brad Binder mengatakan tim tengah fokus pada pengembangan pengaturan motor mereka, termasuk pada mesin, knalpot, hingga aerodinamika agar lebih siap dan maksimal untuk mengarungi MotoGP musim 2024.    “Kami mencoba beberapa hal berbeda dengan aerodinamika dan beberapa knalpot. Kami tidak memiliki sesuatu yang besar atau radikal, namun kami belajar banyak tentang apa yang kami gunakan, dan itu adalah hal yang paling penting,” kata Binder, dikutip dari keterangan resmi KTM, Rabu.    Lebih lanjut, Binder yang berhasil finis P2 pada uji coba di Valencia, Selasa (28/11) itu pun mengatakan motor RC16 sudah tampil cukup baik.    Namun, tetap masih diperlukan pengembangan lebih lanjut dari sisi kelistrikan dan pengaturan teknis lainnya, yang nantinya akan mereka jajal di uji coba kedua di Sirkuit Internasional Sepang, Malaysia, 6-8 Februari 2024.    “Kami bermain dengan beberapa perangkat elektronik untuk mencoba dan menempatkan motor lebih mantap, tapi masih ada ruang buat kami untuk bekerja lebih jauh. Semuanya merupakan titik awal menuju tes berikutnya di Malaysia,” ujar pembalap asal Afrika Selatan itu.  Baca juga: Marquez terlihat nyaman di atas motor Ducati pada tes Valencia  Baca juga: Quartararo dan Rins soroti langkah Yamaha perbarui aerodinamika motor    Di sisi lain, rekan satu timnya, Jack Miller, mengatakan tim sudah memiliki arah yang jelas tentang hal-hal apa saja yang ingin mereka kembangkan.    “Kami sudah memiliki arah yang jelas tentang apa yang ingin kami tingkatkan. Kami bekerja keras untuk membuat rentang tenaga yang lebih luas, kami mencoba beberapa aero, dan juga cengkraman (grip),” ungkap Miller.    Manajer Tim Balap KTM Francesco Guidotti menambahkan, sesi uji coba pertama di Valencia penting karena ini merupakan langkah awal bagi tim untuk mengumpulkan lebih banyak data terkait hal-hal apa saja yang perlu menjadi sorotan.    “Kami perlu mengerjakan sedikit detail dan pembalap perlu memahami bagaimana dan di mana menggunakan potensi tersebut. Kami mencari peluang kecil di sisi elektronik, aerodinamika, dan lainnya. Ada banyak area yang masih bisa kami kerjakan,” jelas Guidotti.    Sependapat, Manajer Teknis Tim Balap KTM Sebastian Risse mengatakan, tim dan pembalap telah melakukan pekerjaan yang baik dalam mengeksplorasi beberapa arah untuk aerodinamika menyusul homologasi tahun depan.    “Ini merupakan beban kerja yang sangat tinggi dalam beberapa minggu terakhir dan tim bekerja dengan baik. Saya bangga akan hal itu dan saya pikir kami bisa menantikan musim yang sangat bagus tahun depan,” ujarnya.  Baca juga: Di Giannantonio nikmati pengalaman pertama bersama VR46  Baca juga: Bagnaia yakin bisa maksimalkan potensi motor baru di MotoGP 2024Pewarta: Arnidhya Nur ZhafiraEditor: Irwan Suhirwandi    COPYRIGHT © ANTARA 2023 ",olahraga
Jubir AMIN: Tujuan kaji ulang IKN untuk pemerataan pembangunan," Kamis, 7 Desember 2023 18:21 WIB"," ""Kami bukan tidak setuju Kalimantan dijadikan Ibukota, hanya saja kami ingin terjadi pemerataan pembangunan terlebih dahulu di daerah-daerah. Jangan sampai anggaran Rp466 triliun berpusat pada satu daerah saja,""Jakarta (ANTARA) - Juru bicara Tim Nasional Anies-Muhaimin (AMIN) Ricky Valentino menyatakan kajian ulang keberlanjutan proyek Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur, bertujuan agar terjadinya pemerataan pembangunan diseluruh pelosok Indonesia.   ""Kami bukan tidak setuju Kalimantan dijadikan Ibukota, hanya saja kami ingin terjadi pemerataan pembangunan terlebih dahulu di daerah-daerah. Jangan sampai anggaran Rp466 triliun berpusat pada satu daerah saja,"" katanya dalam keterangan tertulis di Jakarta, Kamis.   Hal tersebut disampaikan Ricky menjawab pernyataan Wakil Ketua DPRD Kaltim Seno Aji, yang menyatakan kekecewaan kepada calon presiden nomor urut 1 atas keinginan untuk lakukan kajian ulang IKN.   Dia menjelaskan pemerataan pembangunan yang tertuang dalam visi misi pasangan AMIN, yakni membangun desa tertinggal menjadi maju, membangun daerah kecil menjadi menengah serta daerah menengah menjadi besar. Sehingga tidak terjadi ketimpangan di tengah masyarakat Indonesia.   ""Anies sudah berulang kali mengatakan bahwa pemerataan pembangunan itu adalah kunci untuk meningkatkan kualitas manusia,"" katanya menegaskan.   Lanjut dia, apabila suatu daerah maju dalam bidang infrastruktur dan transportasi, akan secara langsung berimbas terhadap perekonomian masyarakat, dan ujungnya akan membuat kualitas manusia meningkat.   Menurut dia, saat ini belum saatnya Indonesia membuat Ibukota baru di tengah kondisi APBN yang terus saja mengalami defisit, apalagi ditambah beban hutang negara yang besar, dimana wajib dibayarkan premi dan pokok setiap tahunnya.   ""Kami harus dahulukan mana menjadi prioritas, jangan sampai anggaran banyak digelontorkan tapi tidak dirasakan manfaatnya oleh masyarakat,"" jelasnya.   Menurut dia, sesuai informasi resmi pemerintah bahwa total dana pembangunan IKN menelan anggaran sebesar Rp466 triliun. Anggaran pembiayaan itu dari APBN hanya sekitar Rp89,4 triliun. Lalu KPBU dan swasta Rp253,4 triliun, sementara BUMN serta BUMD Rp123,2 triliun.   ""Jika anggaran sebanyak itu diberikan kepada daerah-daerah sekitar Kalimantan dan seluruh Indonesia, tentu akan membuat daerah tersebut menjadi maju,"" ungkapnya.   Kendati demikian kata dia, pembangunan yang sudah berjalan di IKN sekarang bukan tidak ada berguna, nantinya, bangunan yang sudah selesai akan bisa dijadikan pusat perekonomian dan pemerintahan masyarakat Kalimantan Timur.   Komisi Pemilihan Umum (KPU) RI pada hari Senin, 13 November 2023, menetapkan tiga bakal pasangan calon presiden dan wakil presiden menjadi peserta Pemilu Presiden dan Wakil Presiden (Pilpres) 2024.   Hasil pengundian dan penetapan nomor urut peserta Pilpres 2024 pada hari Selasa, 14 November 2023, pasangan Anies Baswedan-Muhaimin Iskandar nomor urut 1, Prabowo Subianto-Gibran Rakabuming Raka nomor urut 2, dan Ganjar Pranowo-Mahfud Md. nomor urut 3.   KPU juga telah menetapkan masa kampanye mulai 28 November 2023 hingga 10 Februari 2024, kemudian jadwal pemungutan suara pada tanggal 14 Februari 2024.Pewarta: FauziEditor: Agus Setiawan    COPYRIGHT © ANTARA 2023 ",politik
PAN tolak usulan gubernur Jakarta ditunjuk presiden," Kamis, 7 Desember 2023 18:10 WIB","     Jakarta (ANTARA) - Wakil Ketua Umum DPP Partai Amanat Nasional Yandri Susanto menyatakan partainya menolak usulan penunjukan gubernur Provinsi DKI Jakarta oleh presiden dalam Rancangan Undang-Undang Daerah Khusus Jakarta (RUU DKJ).   ""Usulan yang tertuang dalam RUU DKJ, khususnya mengenai penunjukan gubernur, harus dibahas secara terbuka dan komprehensif. Kami di PAN hari ini secara tegas menyatakan menolak hal tersebut,"" kata Yandri dalam keterangannya di Jakarta, Kamis.   Wakil Ketua MPR RI itu mengatakan ketentuan yang termuat dalam RUU DKJ, mengatur bahwa gubernur dan wakil gubernur Daerah Khusus Jakarta ditunjuk, diangkat dan diberhentikan oleh presiden, dengan memperhatikan usul DPRD.  Baca juga: Mahfud tak persoalkan RUU DKJ yang atur gubernur ditunjuk presiden   Hal itu tidak mencerminkan semangat kedaulatan rakyat karena seharusnya masyarakat diberikan hak untuk memilih kepala daerahnya secara langsung.   ""Bahkan dengan hilangnya status ibu kota di Jakarta, kami mengusulkan wali kota serta bupati di Jakarta dipilih langsung oleh rakyat melalui pilkada, serta dibentuk DPRD tingkat kota dan kabupaten di Provinsi Jakarta,"" katanya menegaskan.   Yandri menyampaikan bahwa semangat menempatkan rakyat pada posisi yang mulia dengan memberikan hak pilih maupun dipilih padal pemilu serta pilkada akan terasa mundur.  Baca juga: Legislator: Tak ada desentralisasi jika Gubernur DKI dipilih Presiden   ""Jakarta ketika menjadi ibu kota dilakukan pilkada di tingkat provinsi, namun mengapa ketika sudah tidak menjadi Ibu kota, gubernurnya ditunjuk?"" kata Yandri mempertanyakan.   Sebelumnya, rapat paripurna DPR di Kompleks Parlemen, Senayan, Jakarta, Selasa (5/12), mengesahkan RUU DKJ menjadi RUU usul inisiatif DPR.   Dari sembilan fraksi yang ada di DPR RI, Fraksi PKS menyatakan tidak menyetujui pengesahan tersebut. Usai disahkan, RUU DKJ selanjutnya akan dibahas bersama pemerintah.  Baca juga: Legislator tolak usulan Gubernur DKI dipilih presiden dalam RUU DKJ  Baca juga: Ari: Pemerintah akan buka masukan gubernur DKJ ditunjuk presiden  Baca juga: F-PKB setujui pembahasan RUU DKJ: Pimpinan dipilih lewat pemiluPewarta: FauziEditor: Didik Kusbiantoro    COPYRIGHT © ANTARA 2023 ",politik
Polda Lampung amankan kampanye pemilu di sejumlah lokasi," Kamis, 7 Desember 2023 18:09 WIB","     Bandarlampung (ANTARA) - Polda Lampung  menerjunkan ratusan personel guna mengamankan kegiatan kampanye calon anggota Dewan Perwakilan daerah (DPD), calon legislatif (caleg) dan calon presiden yang berlangsung di sejumlah titik di provinsi ini.  ""Pengamanan ini dilakukan untuk memastikan kegiatan kampanye yang dilakukan para kontestan pemilu dapat berjalan dengan aman, tertib dan lancar,"" kata Kabid Humas Polda Lampung Kombes Pol Umi Fadilah Astutik, di Mapolda Lampung, Kamis.   Dia menyebutkan bahwa pada masa kampanye yang memasuki hari kesepuluh, di provinsi itu terdapat sejumlah kegiatan dari peserta pemilu yang berlangsung di sejumlah wilayah,  salah satunya salah satunya yakni Capres Nomor 1 Anies Baswedan.   ""Pengamanan ini bentuk nyata komitmen Polda Lampung dan jajaran dalam mendukung suksesnya proses demokrasi Pemilu 2024 yang sedang berjalan,” kata dia.   Ia pun mengimbau para kontestan, tim sukses dan relawan untuk melakukan kampanye yang santun tanpa menghina, menghasut, dan mengadu domba.   ""Hal itu agar proses demokrasi yang sedang berlangsung dapat berjalan dengan aman damai dan sejuk,"" kata dia.   Umi juga menyampaikan, perbedaan pilihan politik adalah hal yang wajar dalam berdemokrasi, oleh karena itu masyarakat diminta untuk menjaga sikap toleransi dan persatuan yang selama ini sudah terbangun dengan baik.   ""Mari kita sukseskan pesta demokrasi ini dengan menolak segala bentuk provokasi yang dapat memecah belah persaudaraan dan mengganggu jalannya pesta demokrasi,"" kata dia.   Pemilu Anggota Legislatif 2024 diikuti 18 partai politik nasional, yakni (sesuai nomor urut) Partai Kebangkitan Bangsa, Partai Gerindra, PDI Perjuangan, Partai Golkar, Partai NasDem, Partai Buruh, Partai Gelora Indonesia, Partai Keadilan Sejahtera, Partai Kebangkitan Nusantara, Partai Hanura, Partai Garuda, Partai Amanat Nasional, Partai Bulan Bintang, Partai Demokrat, Partai Solidaritas Indonesia, Partai Perindo, Partai Persatuan Pembangunan, dan Partai Ummat.   Selain itu, Pemilu Anggota Legislatif 2024 juga diikuti enam partai politik lokal, yakni Partai Nanggroe Aceh, Partai Generasi Atjeh Beusaboh Tha'at dan Taqwa, Partai Darul Aceh, Partai Aceh, Partai Adil Sejahtera Aceh, dan Partai Soliditas Independen Rakyat Aceh.   Pemungutan suara Pemilu Anggota Legislatif 2024 dilakukan serentak dengan Pemilu Presiden dan Wakil Presiden 2024 pada tanggal 14 Februari 2024.Pewarta: Dian HadiyatnaEditor: Hisar Sitanggang    COPYRIGHT © ANTARA 2023 ",politik
Muhaimin sebut Program Kartu Prakerja harus dievaluasi total," Kamis, 7 Desember 2023 18:01 WIB"," Orang tidak bisa hanya belajar dengan melihat dan mencatat, tapi harus praktikDepok (ANTARA) - Calon Wakil Presiden (Cawapres) Muhaimin Iskandar mengatakan dia dan Calon Presiden Anies Baswedan akan mengevaluasi total Program Kartu Prakerja jika memenangi Pemilihan Umum Presiden (Pilpres) 2024.   Menurut Muhaimin, Kartu Prakerja perlu dievaluasi karena belum efektif menjadikan masyarakat sebagai pekerja andal.       ""Program Kartu Prakerja sayangnya hanya menghasilkan orang yang cuma menonton YouTube,"" kata dia setelah mengukuhkan sukarelawan Satu Juta Jubir Desa Anies-Muhaimin (AMIN) di Depok, Jawa Barat, Kamis.   Muhaimin mengatakan ide dasar program Kartu Prakerja merupakan cara-cara pengembangan saat calon pekerja menjalani periode transisi dari dunia pendidikan ke dunia kerja. Dengan Kartu Prakerja, calon pekerja diharapkan dapat terserap oleh industri.  Evaluasi yang akan dilakukan Muhaimin dimulai dari memperbanyak kerja sama dengan dunia industri, dan pembiayaan magang kerja yang akan dibantu pemerintah.       ""Orang tidak bisa hanya belajar dengan melihat dan mencatat tapi harus praktik. Jadi tidak perlu lama-lama, tiga, empat, enam bulan cukup,"" ujar Ketua Umum Partai Kebangkitan Bangsa (PKB) itu.       Lebih lanjut, dia mengatakan tidak ingin mengomentari terkait adanya dugaan penyelewengan dana program tersebut.       ""Biar itu urusan kejaksaan dan KPK,"" katanya.       Komisi Pemilihan Umum (KPU) RI telah menetapkan tiga pasangan calon presiden dan wakil presiden sebagai peserta Pilpres 2024, yakni Anies Baswedan-Muhaimin Iskandar dengan nomor urut 1, Prabowo Subianto-Gibran Rakabuming Raka nomor urut 2, dan Ganjar Pranowo-Mahfud MD nomor urut 3.       Masa kampanye juga telah dijadwalkan mulai 28 November 2023 hingga 10 Februari 2024, kemudian jadwal pemungutan suara pada tanggal 14 Februari 2024.  Baca juga: Menko Perekonomian pastikan tahun depan kartu prakerja tetap berlanjut  Baca juga: Anies Baswedan jelaskan soal visi ""perubahan""  Baca juga: Prabowo tegaskan akan lanjutkan program kerja JokowiPewarta: Donny AditraEditor: Indra  Arief Pribadi    COPYRIGHT © ANTARA 2023 ",politik
